fips,year,per_capita_income,gdp_thousands,median_income,poverty_rate,pct_bachelors,pop_density,unemployment_acs,median_age,elec_rate_cents_kwh,total_employment,total_wages,avg_annual_wage,data_processing_employment,total_establishments,unemployment_rate,labor_force,is_treated,dc_opening_year,dc_active,years_since_dc,contaminated_control,state,log_pop_density,log_labor_force,log_total_employment,log_total_wages,log_gdp_thousands
51125,2017,48222.0,491384.0,53834.0,14.9,30.8,31.573357125407597,3.7,49.7,11.507452794791472,3941.0,133252403.0,33815.0,,569.0,3.5,7355.0,0,,0,0.0,0,51,3.4523136360169513,8.903135633035538,8.279189777195004,18.70775565461873,13.104981178506566
51125,2018,49547.0,508702.0,62446.0,12.4,32.1,31.465018215806857,3.9,50.1,11.59315094581728,4013.0,139245702.0,34702.0,,573.0,3.1,7349.0,0,,0,0.0,0,51,3.44887639590156,8.90231952852887,8.297294370266917,18.751750570945234,13.139617662393457
51125,2019,53191.0,501209.0,64313.0,13.0,30.4,31.505379770364,3.5,51.4,11.906429304977078,4024.0,143393714.0,35633.0,,555.0,2.7,7579.0,0,,0,0.0,0,51,3.4501583176100192,8.93313654381203,8.300031711779575,18.78110464974361,13.124778458746258
51125,2020,57691.0,496810.0,62203.0,11.5,30.9,31.465018215806857,3.1,51.3,11.95795202087744,3649.0,140274608.0,38445.0,,544.0,5.9,7169.0,0,,0,0.0,0,51,3.44887639590156,8.877521453852872,8.202208436436448,18.759112545086623,13.115962938223301
51125,2021,63126.0,550814.0,67707.0,12.5,30.3,31.428905245939944,4.7,51.8,11.9541607203177,3697.0,151501925.0,40976.0,,546.0,3.5,7205.0,0,,0,0.0,0,51,3.4477280187023664,8.882530508433623,8.215276958936633,18.836108889103603,13.219152463088053
51125,2022,63841.0,537643.0,64028.0,13.2,30.4,31.38217081434747,3.2,50.7,13.327570587612463,3883.0,166283974.0,42825.0,,633.0,2.7,7376.0,0,,0,0.0,0,51,3.4462399231896645,8.90598676523643,8.264363329731667,18.92920757150984,13.194950050111485
51127,2012,61117.0,435016.0,70978.0,5.9,23.2,87.89011355250315,8.7,42.0,11.044668644654392,3795.0,130638249.0,34428.0,,429.0,5.5,10600.0,0,,0,0.0,0,51,4.476087324560054,9.268609280100158,8.24143968982973,18.6879426032911,12.983138091003589
51127,2013,63360.0,442895.0,70618.0,5.9,23.2,89.4660413740567,8.6,42.9,10.72088033141516,3887.0,129575431.0,33337.0,,414.0,4.9,10788.0,0,,0,0.0,0,51,4.493859127292363,9.28618968425962,8.265392930852224,18.679773748293435,13.001088000617491
51127,2014,65724.0,450576.0,73030.0,5.4,24.6,91.35144142642892,7.4,43.3,10.845198937440564,3933.0,137103303.0,34863.0,,411.0,4.4,11116.0,0,,0,0.0,0,51,4.5147140618613095,9.316140790862395,8.27715777243181,18.736245236146058,13.018282043244882
51127,2015,68271.0,466957.0,73041.0,7.0,24.6,93.12733592020378,6.1,43.1,11.055026234667997,4135.0,146919829.0,35534.0,,428.0,3.8,11258.0,0,,0,0.0,0,51,4.533967760092019,9.328834266023971,8.327242607457793,18.805397615016343,13.053992455323884
51127,2016,66391.0,493423.0,75303.0,5.0,26.0,95.4650415406956,4.9,44.0,11.185673295112666,4320.0,157487158.0,36460.0,,456.0,3.3,11690.0,0,,0,0.0,0,51,4.558760123305914,9.366489054466115,8.371010681238156,18.874854476397743,13.109122097313186
51127,2017,70079.0,498917.0,78429.0,5.1,26.9,97.71228604756352,5.1,44.0,11.524501496229677,4196.0,155024532.0,36945.0,,466.0,3.2,12095.0,0,,0,0.0,0,51,4.5820273039323185,9.400547423044127,8.341886969516187,18.859093933327735,13.120195028233514
