fips,state,per_capita_income,total_employment,avg_annual_wage,elec_rate_cents_kwh,poverty_rate,unemployment_rate,pop_density,median_age,pct_bachelors
13029,GA,43342.333333333336,5938.0,30338.333333333332,11.59554579022993,12.1,9.066666666666666,68.18233758873028,35.76666666666667,28.666666666666668
13191,GA,24935.333333333332,1796.3333333333333,27493.666666666668,11.610940563378287,14.9,10.266666666666666,32.45671382051247,43.46666666666667,14.933333333333332
13117,GA,49322.0,55499.333333333336,43470.333333333336,11.524318539544627,6.7,7.3,759.5161563187279,36.63333333333333,43.23333333333333
13111,GA,26957.333333333332,5172.0,28268.333333333332,11.829441764191456,20.1,11.033333333333333,60.63815588363192,47.800000000000004,15.466666666666667
13225,GA,29727.666666666668,8105.0,32402.333333333332,11.552005282287496,26.6,11.633333333333333,181.35219539893356,34.199999999999996,18.066666666666666
13145,GA,38359.333333333336,3694.0,27396.666666666668,11.563875745210247,8.4,7.3999999999999995,67.61362247970757,41.93333333333333,27.766666666666666
13187,GA,28769.333333333332,6123.333333333333,31532.333333333332,11.405688976087166,16.8,9.466666666666667,104.06535097640051,35.93333333333334,20.766666666666666
13169,GA,31011.333333333332,3443.3333333333335,29851.0,11.549147916817027,14.2,9.1,72.27629109530507,38.93333333333333,17.966666666666665
13141,GA,21979.0,1206.0,26863.0,11.612223695877926,31.4,19.866666666666667,20.298598713134226,41.800000000000004,11.700000000000001
13061,GA,26449.333333333332,662.3333333333334,26967.666666666668,11.581095854088375,47.7,12.066666666666668,15.94815527488349,41.0,9.066666666666666
13103,GA,34042.666666666664,9163.666666666666,35947.333333333336,11.580964680336022,10.6,9.033333333333333,107.33964177886747,35.23333333333333,16.066666666666666
13159,GA,28690.666666666668,2017.3333333333333,28431.333333333332,11.468498443899863,20.2,10.766666666666666,37.351002245710795,37.86666666666667,14.766666666666666
13057,GA,38931.666666666664,44431.666666666664,35301.666666666664,11.513106244417784,8.4,8.0,500.78369533725026,36.06666666666667,33.93333333333334
13313,GA,27792.666666666668,52632.666666666664,37063.333333333336,11.525046495727317,19.4,11.4,348.08196617833556,33.9,14.866666666666667
13245,GA,31179.0,98149.0,40464.333333333336,11.612258376452962,24.4,10.9,614.1775091981666,33.199999999999996,19.933333333333334
13129,GA,27364.0,19669.666666666668,34790.666666666664,11.534081737182845,19.9,11.366666666666667,153.36533470989752,35.63333333333333,13.4
13123,GA,26988.333333333332,7200.333333333333,27947.666666666668,11.605913388297076,20.4,11.166666666666666,66.09840619596305,42.0,14.066666666666668
13309,GA,16073.0,1378.3333333333333,30561.666666666668,11.607153086978776,26.0,14.4,24.838968041783705,36.4,8.366666666666667
