fips,year,elec_rate_cents_kwh,res_sales_mwh,res_customers
39153,2024,17.912566513313262,,
39159,2010,11.506718496319925,,
39159,2011,11.597788750379953,,
39159,2012,12.449056640462976,,
39159,2013,13.00207451367027,,
39159,2014,13.637628643128894,,
39159,2015,13.310397053852096,,
39159,2016,12.765977972638298,,
39159,2017,12.460717247383807,,
39159,2018,12.192630978598226,,
39159,2019,11.967381886971362,,
39159,2020,11.922723319103964,,
39159,2021,12.206060667131233,,
39159,2022,14.214423396885051,,
39159,2023,,,
39159,2024,17.825076081789266,,
40041,2010,8.101485348761766,,
40041,2011,8.682202978398754,,
40041,2012,8.2996265834702,,
40041,2013,8.652102530860141,,
40041,2014,9.04644872431719,,
40041,2015,9.264945100761834,,
40041,2016,8.888056909547597,,
40041,2017,10.284086593908881,,
40041,2018,10.501494839755463,,
40041,2019,10.3098805482895,,
40041,2020,9.72857622965882,,
40041,2021,10.51838556335843,,
40041,2022,12.172587544951986,,
40041,2023,,,
40041,2024,12.747352024133999,,
40087,2010,8.930482017165279,,
40087,2011,9.251425257611992,,
40087,2012,9.136956479857986,,
40087,2013,9.315359341074652,,
40087,2014,9.676034653863425,,
40087,2015,9.721550482119369,,
40087,2016,9.760181453580593,,
40087,2017,10.200835077147195,,
40087,2018,9.845688916727706,,
40087,2019,9.705798478733794,,
40087,2020,9.489287999659439,,
40087,2021,10.705667831639863,,
40087,2022,12.539519982759307,,
40087,2023,,,
40087,2024,12.17493510239577,,
40097,2010,8.097452294901897,,
40097,2011,8.671771689422316,,
40097,2012,8.289188751797871,,
40097,2013,8.638270823302667,,
40097,2014,9.03647283551192,,
40097,2015,9.23655768760861,,
40097,2016,8.836540821664501,,
40097,2017,10.257706637223482,,
40097,2018,10.479654091809751,,
40097,2019,10.268770526659825,,
40097,2020,9.67934671119397,,
40097,2021,10.490788808640696,,
40097,2022,12.178972549334103,,
40097,2023,,,
40097,2024,12.704193286988284,,
40111,2010,8.878155563555625,,
40111,2011,9.185948193276957,,
40111,2012,9.057344137898484,,
40111,2013,9.205560827209235,,
40111,2014,9.564999183508265,,
40111,2015,9.630672044105012,,
40111,2016,9.724602891657316,,
40111,2017,10.159973900142663,,
40111,2018,9.809204292270747,,
40111,2019,9.664056857238444,,
40111,2020,9.41941936495232,,
40111,2021,10.634933086832566,,
40111,2022,12.462037547463282,,
40111,2023,,,
40111,2024,12.162988632830315,,
40135,2010,9.525213269696946,,
40135,2011,9.659269193226129,,
40135,2012,9.758564210901659,,
40135,2013,9.718468039507368,,
40135,2014,10.011683861403945,,
40135,2015,9.994559183822116,,
40135,2016,10.452251389151563,,
40135,2017,10.180686029494572,,
40135,2018,9.441637859950307,,
40135,2019,9.345481946140218,,
40135,2020,9.383658746349894,,
40135,2021,10.815197245817508,,
40135,2022,12.614932562959027,,
40135,2023,,,
40135,2024,11.88544318967873,,
41003,2010,8.536172837994044,,
41003,2011,9.634657587063675,,
41003,2012,10.256581141739895,,
41003,2013,10.674979670191874,,
41003,2014,10.951175561275706,,
41003,2015,11.031232594416762,,
41003,2016,10.964772960257212,,
41003,2017,11.062802194084432,,
41003,2018,11.069808060936502,,
41003,2019,10.781934827617391,,
41003,2020,10.752485369313089,,
41003,2021,10.439724431738588,,
41003,2022,9.967685108636084,,
41003,2023,,,
41003,2024,13.886085214706545,,
41007,2010,8.52914576312429,,
41007,2011,9.64737959593504,,
41007,2012,10.261082012488373,,
41007,2013,10.689842367986863,,
41007,2014,10.960719262071056,,
41007,2015,11.04985165683687,,
41007,2016,10.968643350347874,,
41007,2017,11.046908197858624,,
41007,2018,11.048289317137538,,
41007,2019,10.794357818365587,,
41007,2020,10.714923938170351,,
