fips,county_name,state,year,median_income,poverty_rate,pct_bachelors,pop_density,unemployment_acs,median_age
51670,"Hopewell city, Virginia",VA,2010,37789.0,,10.9,2173.652694610779,14.6,36.1
51678,"Lexington city, Virginia",VA,2010,31571.0,,44.4,2797.1188475390154,1.4,22.4
51680,"Lynchburg city, Virginia",VA,2010,37058.0,,28.3,1505.3495589676577,9.9,31.6
51683,"Manassas city, Virginia",VA,2010,75173.0,,28.3,3664.22838565478,6.5,32.1
51685,"Manassas Park city, Virginia",VA,2010,70299.0,,21.9,4349.044166117337,4.0,30.6
51690,"Martinsville city, Virginia",VA,2010,32408.0,,20.4,1280.4855786783498,11.8,43.4
51700,"Newport News city, Virginia",VA,2010,49562.0,,23.5,2635.5216048935335,7.9,32.0
51710,"Norfolk city, Virginia",VA,2010,42677.0,,23.7,4545.152510558423,9.6,29.5
51720,"Norton city, Virginia",VA,2010,33944.0,,20.6,519.727163300789,2.4,40.4
51730,"Petersburg city, Virginia",VA,2010,36449.0,,15.2,1421.786971830986,14.2,39.6
51735,"Poquoson city, Virginia",VA,2010,84315.0,,36.0,787.8491892947842,3.8,42.3
51740,"Portsmouth city, Virginia",VA,2010,45488.0,,18.7,2906.3691781027596,7.4,35.3
51750,"Radford city, Virginia",VA,2010,29155.0,,35.1,1686.4406779661017,11.3,21.7
51760,"Richmond city, Virginia",VA,2010,38266.0,,32.6,3368.0100125156446,10.5,32.6
51770,"Roanoke city, Virginia",VA,2010,36422.0,,21.9,2252.839773288493,6.7,38.7
51775,"Salem city, Virginia",VA,2010,48828.0,,29.1,1697.623148467103,6.6,40.0
51790,"Staunton city, Virginia",VA,2010,42724.0,,28.5,1195.0803212851404,5.3,42.8
51800,"Suffolk city, Virginia",VA,2010,65104.0,,25.1,206.7942679627217,6.6,37.5
51810,"Virginia Beach city, Virginia",VA,2010,64618.0,,31.9,1781.5897974444574,5.3,34.6
51820,"Waynesboro city, Virginia",VA,2010,40977.0,,21.8,1395.123580494322,10.8,38.6
51830,"Williamsburg city, Virginia",VA,2010,50794.0,,43.3,1501.5663459386888,6.1,23.1
51840,"Winchester city, Virginia",VA,2010,44873.0,,29.7,2823.126291743718,6.8,37.0
31001,"Adams County, Nebraska",NE,2010,44443.0,,21.5,55.259074624427896,5.5,37.5
31003,"Antelope County, Nebraska",NE,2010,37058.0,,16.5,7.8655368853080585,3.0,45.2
31005,"Arthur County, Nebraska",NE,2010,43250.0,,17.9,0.5956775622525001,0.0,39.4
31007,"Banner County, Nebraska",NE,2010,34063.0,,25.1,0.9650969989504571,1.8,46.4
31009,"Blaine County, Nebraska",NE,2010,39000.0,,19.8,0.7584168084301053,1.9,48.4
31011,"Boone County, Nebraska",NE,2010,40703.0,,15.8,8.08834989214077,2.7,45.0
31013,"Box Butte County, Nebraska",NE,2010,44404.0,,19.5,10.57502389888447,4.7,40.9
31015,"Boyd County, Nebraska",NE,2010,34906.0,,13.2,3.902321575745229,1.4,47.0
31017,"Brown County, Nebraska",NE,2010,28038.0,,16.8,2.613488614294276,2.9,48.1
31019,"Buffalo County, Nebraska",NE,2010,47120.0,,32.0,46.92838404494846,4.3,32.0
31021,"Burt County, Nebraska",NE,2010,43817.0,,18.3,14.166392045338963,5.8,45.9
31023,"Butler County, Nebraska",NE,2010,44595.0,,15.7,14.330826322079423,2.7,44.0
31025,"Cass County, Nebraska",NE,2010,62039.0,,23.5,45.296736144628035,5.0,40.7
31027,"Cedar County, Nebraska",NE,2010,40497.0,,15.1,12.03116810132875,2.9,43.3
31029,"Chase County, Nebraska",NE,2010,38314.0,,14.6,4.390559681759891,4.1,44.8
31031,"Cherry County, Nebraska",NE,2010,43431.0,,22.6,0.9702658726470256,1.7,43.9
31033,"Cheyenne County, Nebraska",NE,2010,49493.0,,27.1,8.402117711587213,3.5,41.3
31035,"Clay County, Nebraska",NE,2010,42909.0,,16.4,11.452255765880526,4.6,43.1
31037,"Colfax County, Nebraska",NE,2010,48133.0,,12.7,24.780940951834946,6.4,35.3
31039,"Cuming County, Nebraska",NE,2010,44278.0,,15.7,16.20095281163566,2.8,43.4
31041,"Custer County, Nebraska",NE,2010,42364.0,,18.0,4.271247719943438,3.2,44.7
31043,"Dakota County, Nebraska",NE,2010,43729.0,,10.8,78.22882138370491,5.1,33.0
31045,"Dawes County, Nebraska",NE,2010,34937.0,,36.5,6.551889836012979,4.4,32.9
31047,"Dawson County, Nebraska",NE,2010,41830.0,,14.7,23.932465927453386,4.8,36.0
31049,"Deuel County, Nebraska",NE,2010,37148.0,,18.2,4.462874928100653,1.6,49.3
31051,"Dixon County, Nebraska",NE,2010,42388.0,,13.0,12.602129759929428,4.5,40.1
31053,"Dodge County, Nebraska",NE,2010,42849.0,,17.3,69.21807634949826,7.6,40.1
31055,"Douglas County, Nebraska",NE,2010,51878.0,,35.8,1548.8178868712987,6.2,33.6
31057,"Dundy County, Nebraska",NE,2010,37031.0,,25.9,2.1344427071214054,3.1,48.9
31059,"Fillmore County, Nebraska",NE,2010,43167.0,,17.6,10.34636782180541,2.1,45.4
31061,"Franklin County, Nebraska",NE,2010,37220.0,,16.3,5.607694124511997,3.7,47.9
31063,"Frontier County, Nebraska",NE,2010,42009.0,,19.8,2.88109038189838,4.2,43.0
31065,"Furnas County, Nebraska",NE,2010,37938.0,,16.3,6.872173676042785,2.5,46.8
31067,"Gage County, Nebraska",NE,2010,43311.0,,19.1,26.532043158758885,6.4,42.8
31069,"Garden County, Nebraska",NE,2010,32962.0,,20.2,1.2079525497474148,4.8,51.3
31071,"Garfield County, Nebraska",NE,2010,38709.0,,13.8,3.6551736251383202,1.0,47.3
31073,"Gosper County, Nebraska",NE,2010,41442.0,,16.4,4.491929587148454,2.9,45.4
31075,"Grant County, Nebraska",NE,2010,39261.0,,17.3,0.8507242739563826,2.7,46.6
31077,"Greeley County, Nebraska",NE,2010,41181.0,,12.5,4.461128339045754,2.1,42.3
31079,"Hall County, Nebraska",NE,2010,46138.0,,16.3,104.13623968227823,4.6,35.7
31081,"Hamilton County, Nebraska",NE,2010,50702.0,,21.8,16.89693973547804,5.0,41.7
31083,"Harlan County, Nebraska",NE,2010,44656.0,,16.9,6.251513191415552,2.0,48.0
31085,"Hayes County, Nebraska",NE,2010,45595.0,,16.6,1.437462661030878,1.8,46.4
31087,"Hitchcock County, Nebraska",NE,2010,35549.0,,13.7,4.120049074362308,3.9,48.3
31089,"Holt County, Nebraska",NE,2010,43452.0,,16.1,4.34381239903714,1.9,45.4
31091,"Hooker County, Nebraska",NE,2010,38750.0,,22.1,0.9567918353763382,1.9,51.4
31093,"Howard County, Nebraska",NE,2010,45453.0,,13.9,11.068995921579099,4.5,42.6
31095,"Jefferson County, Nebraska",NE,2010,42665.0,,14.7,13.518585424200865,6.7,46.1
31097,"Johnson County, Nebraska",NE,2010,42083.0,,11.8,13.85627866781892,5.8,43.1
31099,"Kearney County, Nebraska",NE,2010,54518.0,,25.0,12.691697514542568,1.9,42.5
31101,"Keith County, Nebraska",NE,2010,42898.0,,19.5,7.870070374779608,3.6,46.0
