fips,year,unemployment_rate,labor_force
17037,2013,8.1,54877
17037,2014,6.6,55090
17037,2015,5.6,54841
17037,2016,5.3,55418
17037,2017,4.6,54909
17037,2018,4.4,55486
17037,2019,4.0,55811
17037,2020,8.3,52911
17037,2021,5.8,53143
17037,2022,4.4,53769
17097,2010,10.0,368953
17097,2011,8.9,367799
17097,2012,8.2,365531
17097,2013,7.9,363470
17097,2014,6.5,364629
17097,2015,5.4,367278
17097,2016,5.2,373373
17097,2017,4.5,372970
17097,2018,4.5,379113
17097,2019,4.0,378430
17097,2020,8.1,364341
17097,2021,5.4,364965
17097,2022,4.4,362741
17115,2010,11.2,55417
17115,2011,10.0,55219
17115,2012,9.9,54340
17115,2013,11.2,52688
17115,2014,8.6,51102
17115,2015,7.0,50933
17115,2016,6.6,50782
17115,2017,5.5,49665
17115,2018,5.5,50137
17115,2019,5.1,48854
17115,2020,10.0,47088
17115,2021,7.8,46349
17115,2022,5.8,45550
18003,2010,10.5,176022
18003,2011,9.1,176618
18003,2012,8.3,173981
18003,2013,7.4,174458
18003,2014,5.7,175752
18003,2015,4.6,178004
18003,2016,4.2,181043
18003,2017,3.3,181184
18003,2018,3.1,185243
18003,2019,3.1,188064
18003,2020,7.9,185777
18003,2021,4.1,184769
18003,2022,2.9,188044
18039,2010,13.0,94442
18039,2011,10.5,95546
18039,2012,8.8,96921
18039,2013,7.1,99135
18039,2014,5.1,102208
18039,2015,3.9,104706
18039,2016,3.4,108584
18039,2017,2.5,112355
18039,2018,2.6,116395
18039,2019,3.1,113181
18039,2020,7.7,110701
18039,2021,2.8,115620
18039,2022,2.6,117325
18057,2010,6.5,145059
18057,2011,5.7,148561
18057,2012,5.2,151320
18057,2013,4.9,156093
18057,2014,4.1,161190
18057,2015,3.4,167231
18057,2016,3.2,174686
18057,2017,2.7,178341
18057,2018,2.7,183612
18057,2019,2.5,188609
18057,2020,4.8,185235
18057,2021,2.4,189089
18057,2022,2.2,193855
18141,2010,11.3,130450
18141,2011,9.9,130857
18141,2012,9.3,127863
18141,2013,8.5,127277
18141,2014,6.5,128812
18141,2015,5.0,130384
18141,2016,4.5,134247
18141,2017,3.5,134613
18141,2018,3.5,136935
18141,2019,3.6,138763
18141,2020,8.6,133759
18141,2021,4.6,131347
18141,2022,3.5,132073
19013,2010,6.3,70810
19013,2011,5.9,71234
19013,2012,5.5,71516
19013,2013,5.1,71842
19013,2014,4.9,72154
19013,2015,4.5,70483
19013,2016,4.6,69624
19013,2017,3.7,69065
19013,2018,2.8,69404
19013,2019,3.1,70478
19013,2020,6.1,67261
19013,2021,4.2,67169
19013,2022,3.0,67499
19049,2010,4.6,37190
19049,2011,4.3,38374
19049,2012,3.9,39323
19049,2013,3.6,40955
19049,2014,3.3,42713
19049,2015,2.8,43682
19049,2016,2.6,46059
19049,2017,2.1,47374
19049,2018,1.7,49269
19049,2019,1.9,51909
19049,2020,3.5,50683
19049,2021,2.7,52067
19049,2022,2.1,53951
19103,2010,4.3,79040
19103,2011,4.1,80001
19103,2012,3.7,80618
19103,2013,3.4,82852
19103,2014,3.1,84034
19103,2015,2.6,83898
19103,2016,2.6,84759
19103,2017,2.4,86226
19103,2018,2.0,86767
19103,2019,2.0,88184
19103,2020,4.7,84503
19103,2021,3.4,84706
19103,2022,2.3,86408
19113,2010,6.1,119813
19113,2011,5.8,119906
19113,2012,5.2,119371
19113,2013,5.0,119830
19113,2014,4.4,121005
19113,2015,3.8,120196
19113,2016,3.6,119414
19113,2017,3.3,119930
19113,2018,2.8,121787
19113,2019,2.8,124638
19113,2020,6.2,119332
19113,2021,4.5,119547
19113,2022,3.2,120784
19153,2010,6.1,244314
19153,2011,5.8,244046
19153,2012,5.2,245132
19153,2013,4.8,250729
19153,2014,4.2,255659
19153,2015,3.6,255669
19153,2016,3.4,258689
19153,2017,3.0,262617
19153,2018,2.6,267383
19153,2019,2.8,273764
19153,2020,5.9,264046
19153,2021,4.1,268498
19153,2022,2.8,276399
19155,2010,5.9,50212
19155,2011,5.7,49755
19155,2012,5.1,48657
19155,2013,4.6,48696
19155,2014,4.3,49193
19155,2015,3.6,49001
19155,2016,3.4,48517
19155,2017,2.7,48011
19155,2018,2.4,48266
19155,2019,2.4,48862
19155,2020,5.2,47020
19155,2021,3.9,47134
19155,2022,2.9,47609
19163,2010,6.7,87001
19163,2011,6.2,87484
19163,2012,5.7,87600
19163,2013,5.6,88245
19163,2014,5.2,88865
19163,2015,4.6,87907
19163,2016,4.5,87175
19163,2017,3.6,87229
19163,2018,3.0,88647
19163,2019,3.2,90787
19163,2020,6.7,86696
19163,2021,4.9,87108
19163,2022,3.3,88315
29047,2010,8.3,124476
29047,2011,7.5,125008
29047,2012,6.3,125609
29047,2013,6.1,126423
29047,2014,5.4,128935
29047,2015,4.6,131384
29047,2016,3.9,133855
29047,2017,3.6,134515
29047,2018,2.9,134780
29047,2019,2.8,136934
29047,2020,6.1,135882
29047,2021,4.7,137274
29047,2022,2.6,137802
29077,2010,8.3,144128
29077,2011,7.5,143671
29077,2012,6.1,142979
29077,2013,5.6,144083
29077,2014,4.9,146806
29077,2015,4.2,148369
29077,2016,3.8,148413
29077,2017,3.1,146789
29077,2018,2.6,148205
29077,2019,2.7,150439
